B2RXF5	reviewed	ZBT42_HUMAN	Zinc finger and BTB domain-containing protein 42	ZBTB42	Homo sapiens (Human)	422
O00237	reviewed	RN103_HUMAN	E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (hKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103 homolog) (Zfp-103)	RNF103 ZFP103	Homo sapiens (Human)	685
O00463	reviewed	TRAF5_HUMAN	TNF receptor-associated factor 5 (RING finger protein 84)	TRAF5 RNF84	Homo sapiens (Human)	557
O00482	reviewed	NR5A2_HUMAN	Nuclear receptor subfamily 5 group A member 2 (Alpha-1-fetoprotein transcription factor) (B1-binding factor) (hB1F) (CYP7A promoter-binding factor) (Hepatocytic transcription factor) (Liver receptor homolog 1) (LRH-1)	NR5A2 B1F CPF FTF	Homo sapiens (Human)	541
O00488	reviewed	ZN593_HUMAN	Zinc finger protein 593 (Zinc finger protein T86)	ZNF593 ZT86	Homo sapiens (Human)	134
O00623	reviewed	PEX12_HUMAN	Peroxisome assembly protein 12 (Peroxin-12) (Peroxisome assembly factor 3) (PAF-3)	PEX12 PAF3	Homo sapiens (Human)	359
O00635	reviewed	TRI38_HUMAN	E3 ubiquitin-protein ligase TRIM38 (EC 2.3.2.27) (RING finger protein 15) (Tripartite motif-containing protein 38) (Zinc finger protein RoRet)	TRIM38 RNF15 RORET	Homo sapiens (Human)	465
O14578	reviewed	CTRO_HUMAN	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	Homo sapiens (Human)	2027
O14628	reviewed	ZN195_HUMAN	Zinc finger protein 195	ZNF195 ZNFP104	Homo sapiens (Human)	629
O14686	reviewed	KMT2D_HUMAN	Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.364) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)	KMT2D ALR MLL2 MLL4	Homo sapiens (Human)	5537
O14771	reviewed	ZN213_HUMAN	Zinc finger protein 213 (Putative transcription factor CR53) (Zinc finger protein with KRAB and SCAN domains 21)	ZNF213 ZKSCAN21	Homo sapiens (Human)	459
O14795	reviewed	UN13B_HUMAN	Protein unc-13 homolog B (Munc13-2) (munc13)	UNC13B UNC13	Homo sapiens (Human)	1591
O14901	reviewed	KLF11_HUMAN	Krueppel-like factor 11 (Transforming growth factor-beta-inducible early growth response protein 2) (TGFB-inducible early growth response protein 2) (TIEG-2)	KLF11 FKLF TIEG2	Homo sapiens (Human)	512
O14964	reviewed	HGS_HUMAN	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	HGS HRS	Homo sapiens (Human)	777
O14978	reviewed	ZN263_HUMAN	Zinc finger protein 263 (Zinc finger protein FPM315) (Zinc finger protein with KRAB and SCAN domains 12)	ZNF263 FPM315 ZKSCAN12	Homo sapiens (Human)	683
O15014	reviewed	ZN609_HUMAN	Zinc finger protein 609	ZNF609 KIAA0295	Homo sapiens (Human)	1411
O15015	reviewed	ZN646_HUMAN	Zinc finger protein 646	ZNF646 KIAA0296	Homo sapiens (Human)	1832
O15060	reviewed	ZBT39_HUMAN	Zinc finger and BTB domain-containing protein 39	ZBTB39 KIAA0352	Homo sapiens (Human)	712
O15062	reviewed	ZBTB5_HUMAN	Zinc finger and BTB domain-containing protein 5	ZBTB5 KIAA0354	Homo sapiens (Human)	677
O15151	reviewed	MDM4_HUMAN	Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4)	MDM4 MDMX	Homo sapiens (Human)	490
O15156	reviewed	ZBT7B_HUMAN	Zinc finger and BTB domain-containing protein 7B (Krueppel-related zinc finger protein cKrox) (hcKrox) (T-helper-inducing POZ/Krueppel-like factor) (Zinc finger and BTB domain-containing protein 15) (Zinc finger protein 67 homolog) (Zfp-67) (Zinc finger protein 857B) (Zinc finger protein Th-POK)	ZBTB7B ZBTB15 ZFP67 ZNF857B	Homo sapiens (Human)	539
O15164	reviewed	TIF1A_HUMAN	Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24)	TRIM24 RNF82 TIF1 TIF1A	Homo sapiens (Human)	1050
O15209	reviewed	ZBT22_HUMAN	Zinc finger and BTB domain-containing protein 22 (Protein BING1) (Zinc finger and BTB domain-containing protein 22A) (Zinc finger protein 297)	ZBTB22 BING1 ZBTB22A ZNF297	Homo sapiens (Human)	634
O15344	reviewed	TRI18_HUMAN	E3 ubiquitin-protein ligase Midline-1 (EC 2.3.2.27) (Midin) (Putative transcription factor XPRF) (RING finger protein 59) (RING finger protein Midline-1) (RING-type E3 ubiquitin transferase Midline-1) (Tripartite motif-containing protein 18)	MID1 FXY RNF59 TRIM18 XPRF	Homo sapiens (Human)	667
O15391	reviewed	TYY2_HUMAN	Transcription factor YY2 (Yin and yang 2) (YY-2) (Zinc finger protein 631)	YY2 ZNF631	Homo sapiens (Human)	372
O15409	reviewed	FOXP2_HUMAN	Forkhead box protein P2 (CAG repeat protein 44) (Trinucleotide repeat-containing gene 10 protein)	FOXP2 CAGH44 TNRC10	Homo sapiens (Human)	715
O15504	reviewed	NUP42_HUMAN	Nucleoporin NUP42 (NLP-1) (NUP42 homolog) (Nucleoporin hCG1) (Nucleoporin-42) (Nucleoporin-like protein 2)	NUP42 CG1 NUPL2	Homo sapiens (Human)	423
O15535	reviewed	ZSC9_HUMAN	Zinc finger and SCAN domain-containing protein 9 (Cell proliferation-inducing gene 12 protein) (PRD51) (Zinc finger protein 193)	ZSCAN9 ZNF193 PIG12	Homo sapiens (Human)	394
O15541	reviewed	R113A_HUMAN	E3 ubiquitin-protein ligase RNF113A (EC 2.3.2.27) (Cwc24 homolog) (RING finger protein 113A) (Zinc finger protein 183)	RNF113A RNF113 ZNF183	Homo sapiens (Human)	343
O15553	reviewed	MEFV_HUMAN	Pyrin (Marenostrin)	MEFV MEF TRIM20	Homo sapiens (Human)	781
O43149	reviewed	ZZEF1_HUMAN	Zinc finger ZZ-type and EF-hand domain-containing protein 1	ZZEF1 KIAA0399	Homo sapiens (Human)	2961
O43151	reviewed	TET3_HUMAN	Methylcytosine dioxygenase TET3 (EC 1.14.11.80)	TET3 KIAA0401	Homo sapiens (Human)	1795
O43164	reviewed	PJA2_HUMAN	E3 ubiquitin-protein ligase Praja-2 (Praja2) (EC 2.3.2.27) (RING finger protein 131) (RING-type E3 ubiquitin transferase Praja-2)	PJA2 KIAA0438 RNF131	Homo sapiens (Human)	708
O43167	reviewed	ZBT24_HUMAN	Zinc finger and BTB domain-containing protein 24 (Zinc finger protein 450)	ZBTB24 KIAA0441 ZNF450	Homo sapiens (Human)	697
O43189	reviewed	PHF1_HUMAN	PHD finger protein 1 (Protein PHF1) (hPHF1) (Polycomb-like protein 1) (hPCl1)	PHF1 PCL1	Homo sapiens (Human)	567
O43255	reviewed	SIAH2_HUMAN	E3 ubiquitin-protein ligase SIAH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH2) (Seven in absentia homolog 2) (Siah-2) (hSiah2)	SIAH2	Homo sapiens (Human)	324
O43257	reviewed	ZNHI1_HUMAN	Zinc finger HIT domain-containing protein 1 (Cyclin-G1-binding protein 1) (Zinc finger protein subfamily 4A member 1) (p18 Hamlet)	ZNHIT1 CGBP1 ZNFN4A1	Homo sapiens (Human)	154
O43296	reviewed	ZN264_HUMAN	Zinc finger protein 264	ZNF264 KIAA0412	Homo sapiens (Human)	627
O43298	reviewed	ZBT43_HUMAN	Zinc finger and BTB domain-containing protein 43 (Zinc finger and BTB domain-containing protein 22B) (Zinc finger protein 297B) (ZnF-x)	ZBTB43 KIAA0414 ZBTB22B ZNF297B	Homo sapiens (Human)	467
O43309	reviewed	ZSC12_HUMAN	Zinc finger and SCAN domain-containing protein 12 (Zinc finger protein 305) (Zinc finger protein 96)	ZSCAN12 KIAA0426 ZNF305 ZNF96	Homo sapiens (Human)	611
O43313	reviewed	ATMIN_HUMAN	ATM interactor (ATM/ATR-substrate CHK2-interacting zinc finger protein) (ASCIZ) (Zinc finger protein 822)	ATMIN KIAA0431 ZNF822	Homo sapiens (Human)	823
O43374	reviewed	RASL2_HUMAN	Ras GTPase-activating protein 4 (Calcium-promoted Ras inactivator) (Ras p21 protein activator 4) (RasGAP-activating-like protein 2)	RASA4 CAPRI GAPL KIAA0538	Homo sapiens (Human)	803
O43422	reviewed	P52K_HUMAN	52 kDa repressor of the inhibitor of the protein kinase (p52rIPK) (58 kDa interferon-induced protein kinase-interacting protein) (p58IPK-interacting protein) (Death-associated protein 4) (THAP domain-containing protein 0) (THAP domain-containing protein 12)	THAP12 DAP4 P52RIPK PRKRIR THAP0	Homo sapiens (Human)	761
O43439	reviewed	MTG8R_HUMAN	Protein CBFA2T2 (ETO homologous on chromosome 20) (MTG8-like protein) (MTG8-related protein 1) (Myeloid translocation-related protein 1) (p85)	CBFA2T2 EHT MTGR1	Homo sapiens (Human)	604
O43474	reviewed	KLF4_HUMAN	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)	KLF4 EZF GKLF	Homo sapiens (Human)	513
O43567	reviewed	RNF13_HUMAN	E3 ubiquitin-protein ligase RNF13 (EC 2.3.2.27) (RING finger protein 13)	RNF13 RZF	Homo sapiens (Human)	381
O43593	reviewed	HAIR_HUMAN	Lysine-specific demethylase hairless (EC 1.14.11.65) ([histone H3]-dimethyl-L-lysine(9) demethylase hairless)	HR	Homo sapiens (Human)	1189
O43623	reviewed	SNAI2_HUMAN	Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2)	SNAI2 SLUG SLUGH	Homo sapiens (Human)	268
O43670	reviewed	ZN207_HUMAN	BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)	ZNF207 BUGZ	Homo sapiens (Human)	478
O43823	reviewed	AKAP8_HUMAN	A-kinase anchor protein 8 (AKAP-8) (A-kinase anchor protein 95 kDa) (AKAP 95)	AKAP8 AKAP95	Homo sapiens (Human)	692
O43829	reviewed	ZBT14_HUMAN	Zinc finger and BTB domain-containing protein 14 (Zinc finger protein 161 homolog) (Zfp-161) (Zinc finger protein 478) (Zinc finger protein 5 homolog) (ZF5) (Zfp-5) (hZF5)	ZBTB14 ZFP161 ZNF478	Homo sapiens (Human)	449
O43918	reviewed	AIRE_HUMAN	Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein) (APECED protein)	AIRE APECED	Homo sapiens (Human)	545
O60260	reviewed	PRKN_HUMAN	E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	PRKN PARK2	Homo sapiens (Human)	465
O60281	reviewed	ZN292_HUMAN	Zinc finger protein 292	ZNF292 KIAA0530	Homo sapiens (Human)	2723
O60284	reviewed	ST18_HUMAN	Suppression of tumorigenicity 18 protein (Zinc finger protein 387)	ST18 KIAA0535 ZNF387	Homo sapiens (Human)	1047
O60291	reviewed	MGRN1_HUMAN	E3 ubiquitin-protein ligase MGRN1 (EC 2.3.2.27) (Mahogunin RING finger protein 1) (RING finger protein 156) (RING-type E3 ubiquitin transferase MGRN1)	MGRN1 KIAA0544 RNF156	Homo sapiens (Human)	552
O60293	reviewed	ZC3H1_HUMAN	Zinc finger C3H1 domain-containing protein (Coiled-coil domain-containing protein 131) (Proline/serine-rich coiled-coil protein 2)	ZFC3H1 CCDC131 KIAA0546 PSRC2	Homo sapiens (Human)	1989
O60304	reviewed	ZN500_HUMAN	Zinc finger protein 500 (Zinc finger protein with KRAB and SCAN domains 18)	ZNF500 KIAA0557 ZKSCAN18	Homo sapiens (Human)	480
O60315	reviewed	ZEB2_HUMAN	Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (SMADIP1) (Zinc finger homeobox protein 1b)	ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411	Homo sapiens (Human)	1214
O60337	reviewed	MARH6_HUMAN	E3 ubiquitin-protein ligase MARCHF6 (EC 2.3.2.27) (Doa10 homolog) (Membrane-associated RING finger protein 6) (Membrane-associated RING-CH protein VI) (MARCH-VI) (Protein TEB-4) (RING finger protein 176) (RING-type E3 ubiquitin transferase MARCHF6)	MARCHF6 KIAA0597 MARCH6 RNF176 TEB4	Homo sapiens (Human)	910
O60481	reviewed	ZIC3_HUMAN	Zinc finger protein ZIC 3 (Zinc finger protein 203) (Zinc finger protein of the cerebellum 3)	ZIC3 ZNF203	Homo sapiens (Human)	467
O60673	reviewed	REV3L_HUMAN	DNA polymerase zeta catalytic subunit (EC 2.7.7.7) (Protein reversionless 3-like) (REV3-like) (hREV3)	REV3L POLZ REV3	Homo sapiens (Human)	3130
O60678	reviewed	ANM3_HUMAN	Protein arginine N-methyltransferase 3 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3)	PRMT3 HRMT1L3	Homo sapiens (Human)	531
O60683	reviewed	PEX10_HUMAN	Peroxisome biogenesis factor 10 (EC 2.3.2.27) (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (RING finger protein 69)	PEX10 RNF69	Homo sapiens (Human)	326
O60858	reviewed	TRI13_HUMAN	E3 ubiquitin-protein ligase TRIM13 (EC 2.3.2.27) (B-cell chronic lymphocytic leukemia tumor suppressor Leu5) (Leukemia-associated protein 5) (Putative tumor suppressor RFP2) (RING finger protein 77) (RING-type E3 ubiquitin transferase TRIM13) (Ret finger protein 2) (Tripartite motif-containing protein 13)	TRIM13 LEU5 RFP2 RNF77	Homo sapiens (Human)	407
O60870	reviewed	KIN17_HUMAN	"DNA/RNA-binding protein KIN17 (Binding to curved DNA) (KIN, antigenic determinant of recA protein homolog)"	KIN BTCD KIN17	Homo sapiens (Human)	393
O60884	reviewed	DNJA2_HUMAN	DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14)	DNAJA2 CPR3 HIRIP4	Homo sapiens (Human)	412
O60941	reviewed	DTNB_HUMAN	Dystrobrevin beta (DTN-B) (Beta-dystrobrevin)	DTNB	Homo sapiens (Human)	627
O75081	reviewed	MTG16_HUMAN	Protein CBFA2T3 (MTG8-related protein 2) (Myeloid translocation gene on chromosome 16 protein) (hMTG16) (Zinc finger MYND domain-containing protein 4)	CBFA2T3 MTG16 MTGR2 ZMYND4	Homo sapiens (Human)	653
O75116	reviewed	ROCK2_HUMAN	"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)"	ROCK2 KIAA0619	Homo sapiens (Human)	1388
O75132	reviewed	ZBED4_HUMAN	Zinc finger BED domain-containing protein 4	ZBED4 KIAA0637	Homo sapiens (Human)	1171
O75150	reviewed	BRE1B_HUMAN	E3 ubiquitin-protein ligase BRE1B (BRE1-B) (EC 2.3.2.27) (95 kDa retinoblastoma-associated protein) (RBP95) (RING finger protein 40) (RING-type E3 ubiquitin transferase BRE1B)	RNF40 BRE1B KIAA0661	Homo sapiens (Human)	1001
O75151	reviewed	PHF2_HUMAN	Lysine-specific demethylase PHF2 (EC 1.14.11.-) (GRC5) (PHD finger protein 2)	PHF2 CENP-35 KIAA0662	Homo sapiens (Human)	1096
O75152	reviewed	ZC11A_HUMAN	Zinc finger CCCH domain-containing protein 11A	ZC3H11A KIAA0663 ZC3HDC11A	Homo sapiens (Human)	810
O75164	reviewed	KDM4A_HUMAN	Lysine-specific demethylase 4A (EC 1.14.11.66) (EC 1.14.11.69) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A)	KDM4A JHDM3A JMJD2 JMJD2A KIAA0677	Homo sapiens (Human)	1064
O75312	reviewed	ZPR1_HUMAN	Zinc finger protein ZPR1 (Zinc finger protein 259)	ZPR1 ZNF259	Homo sapiens (Human)	459
O75362	reviewed	ZN217_HUMAN	Zinc finger protein 217	ZNF217 ZABC1	Homo sapiens (Human)	1048
O75382	reviewed	TRIM3_HUMAN	Tripartite motif-containing protein 3 (EC 2.3.2.27) (Brain-expressed RING finger protein) (RING finger protein 22) (RING finger protein 97)	TRIM3 BERP RNF22 RNF97	Homo sapiens (Human)	744
O75398	reviewed	DEAF1_HUMAN	Deformed epidermal autoregulatory factor 1 homolog (Nuclear DEAF-1-related transcriptional regulator) (NUDR) (Suppressin) (Zinc finger MYND domain-containing protein 5)	DEAF1 SPN ZMYND5	Homo sapiens (Human)	565
O75446	reviewed	SAP30_HUMAN	Histone deacetylase complex subunit SAP30 (30 kDa Sin3-associated polypeptide) (Sin3 corepressor complex subunit SAP30) (Sin3-associated polypeptide p30)	SAP30	Homo sapiens (Human)	220
O75469	reviewed	NR1I2_HUMAN	Nuclear receptor subfamily 1 group I member 2 (Orphan nuclear receptor PAR1) (Orphan nuclear receptor PXR) (Pregnane X receptor) (Steroid and xenobiotic receptor) (SXR)	NR1I2 PXR	Homo sapiens (Human)	434
O75478	reviewed	TAD2A_HUMAN	Transcriptional adapter 2-alpha (Transcriptional adapter 2-like) (ADA2-like protein)	TADA2A TADA2L KL04P	Homo sapiens (Human)	443
O75554	reviewed	WBP4_HUMAN	WW domain-binding protein 4 (WBP-4) (Formin-binding protein 21) (WW domain-containing-binding protein 4)	WBP4 FBP21 FNBP21	Homo sapiens (Human)	376
O75592	reviewed	MYCB2_HUMAN	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc)	MYCBP2 KIAA0916 PAM	Homo sapiens (Human)	4678
O75626	reviewed	PRDM1_HUMAN	PR domain zinc finger protein 1 (EC 2.1.1.-) (BLIMP-1) (Beta-interferon gene positive regulatory domain I-binding factor) (PR domain-containing protein 1) (Positive regulatory domain I-binding factor 1) (PRDI-BF1) (PRDI-binding factor 1)	PRDM1 BLIMP1	Homo sapiens (Human)	825
O75677	reviewed	RFPL1_HUMAN	Ret finger protein-like 1 (RING finger protein 78)	RFPL1 RFPL1L RNF78	Homo sapiens (Human)	317
O75678	reviewed	RFPL2_HUMAN	Ret finger protein-like 2 (RING finger protein 79)	RFPL2 RNF79	Homo sapiens (Human)	378
O75679	reviewed	RFPL3_HUMAN	Ret finger protein-like 3	RFPL3	Homo sapiens (Human)	317
O75689	reviewed	ADAP1_HUMAN	Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25)	ADAP1 CENTA1	Homo sapiens (Human)	374
O75800	reviewed	ZMY10_HUMAN	Zinc finger MYND domain-containing protein 10 (Protein BLu)	ZMYND10 BLU LUCA12.4	Homo sapiens (Human)	440
O75808	reviewed	CAN15_HUMAN	Calpain-15 (EC 3.4.22.-) (Small optic lobes homolog)	CAPN15 SOLH	Homo sapiens (Human)	1086
O75840	reviewed	KLF7_HUMAN	Krueppel-like factor 7 (Ubiquitous krueppel-like factor)	KLF7 UKLF	Homo sapiens (Human)	302
O75912	reviewed	DGKI_HUMAN	Diacylglycerol kinase iota (DAG kinase iota) (DGK-iota) (EC 2.7.1.107)	DGKI	Homo sapiens (Human)	1065
O75925	reviewed	PIAS1_HUMAN	E3 SUMO-protein ligase PIAS1 (EC 2.3.2.-) (DEAD/H box-binding protein 1) (E3 SUMO-protein transferase PIAS1) (Gu-binding protein) (GBP) (Protein inhibitor of activated STAT protein 1) (RNA helicase II-binding protein)	PIAS1 DDXBP1	Homo sapiens (Human)	651
O75928	reviewed	PIAS2_HUMAN	E3 SUMO-protein ligase PIAS2 (EC 2.3.2.-) (Androgen receptor-interacting protein 3) (ARIP3) (DAB2-interacting protein) (DIP) (E3 SUMO-protein transferase PIAS2) (Msx-interacting zinc finger protein) (Miz1) (PIAS-NY protein) (Protein inhibitor of activated STAT x) (Protein inhibitor of activated STAT2)	PIAS2 PIASX	Homo sapiens (Human)	621
O76050	reviewed	NEUL1_HUMAN	E3 ubiquitin-protein ligase NEURL1 (EC 2.3.2.27) (Neuralized-like protein 1A) (h-neu) (h-neuralized 1) (RING finger protein 67) (RING-type E3 ubiquitin transferase NEURL1)	NEURL1 NEURL NEURL1A RNF67	Homo sapiens (Human)	574
O76064	reviewed	RNF8_HUMAN	E3 ubiquitin-protein ligase RNF8 (hRNF8) (EC 2.3.2.27) (RING finger protein 8) (RING-type E3 ubiquitin transferase RNF8)	RNF8 KIAA0646	Homo sapiens (Human)	485
O76080	reviewed	ZFAN5_HUMAN	AN1-type zinc finger protein 5 (Zinc finger A20 domain-containing protein 2) (Zinc finger protein 216)	ZFAND5 ZA20D2 ZNF216	Homo sapiens (Human)	213
O94776	reviewed	MTA2_HUMAN	Metastasis-associated protein MTA2 (Metastasis-associated 1-like 1) (MTA1-L1 protein) (p53 target protein in deacetylase complex)	MTA2 MTA1L1 PID	Homo sapiens (Human)	668
O94806	reviewed	KPCD3_HUMAN	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	PRKD3 EPK2 PRKCN	Homo sapiens (Human)	890
O94822	reviewed	LTN1_HUMAN	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING finger protein 160) (RING-type E3 ubiquitin transferase listerin) (Zinc finger protein 294)	LTN1 C21orf10 C21orf98 KIAA0714 RNF160 ZNF294 HSPC087	Homo sapiens (Human)	1766
O94880	reviewed	PHF14_HUMAN	PHD finger protein 14	PHF14 KIAA0783	Homo sapiens (Human)	948
O94941	reviewed	RNF37_HUMAN	RING finger protein 37 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RNF37) (U-box domain-containing protein 5) (UbcM4-interacting protein 5) (hUIP5) (Ubiquitin-conjugating enzyme 7-interacting protein 5)	UBOX5 KIAA0860 RNF37 UBCE7IP5 UIP5	Homo sapiens (Human)	541
O94953	reviewed	KDM4B_HUMAN	Lysine-specific demethylase 4B (EC 1.14.11.66) (JmjC domain-containing histone demethylation protein 3B) (Jumonji domain-containing protein 2B) ([histone H3]-trimethyl-L-lysine(9) demethylase 4B)	KDM4B JHDM3B JMJD2B KIAA0876	Homo sapiens (Human)	1096
O94966	reviewed	UBP19_HUMAN	Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19) (Zinc finger MYND domain-containing protein 9)	USP19 KIAA0891 ZMYND9	Homo sapiens (Human)	1318
O94972	reviewed	TRI37_HUMAN	E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (Mulibrey nanism protein) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37)	TRIM37 KIAA0898 MUL POB1	Homo sapiens (Human)	964
O95071	reviewed	UBR5_HUMAN	"E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (HECT-type E3 ubiquitin transferase UBR5) (Hyperplastic discs protein homolog) (hHYD) (Progestin-induced protein)"	UBR5 EDD EDD1 HYD KIAA0896	Homo sapiens (Human)	2799
O95125	reviewed	ZN202_HUMAN	Zinc finger protein 202 (Zinc finger protein with KRAB and SCAN domains 10)	ZNF202 ZKSCAN10	Homo sapiens (Human)	648
O95159	reviewed	ZFPL1_HUMAN	Zinc finger protein-like 1 (Zinc finger protein MCG4)	ZFPL1	Homo sapiens (Human)	310
O95201	reviewed	RHIT_HUMAN	Transcriptional repressor RHIT (Repressor of heat-inducible transcription) (RhitH) (Zinc finger protein 205) (Zinc finger protein 210)	ZNF205 RHIT ZNF210	Homo sapiens (Human)	554
O95218	reviewed	ZRAB2_HUMAN	"Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)"	ZRANB2 ZIS ZNF265	Homo sapiens (Human)	330
O95251	reviewed	KAT7_HUMAN	"Histone acetyltransferase KAT7 (EC 2.3.1.48) (Histone acetyltransferase binding to ORC1) (Lysine acetyltransferase 7) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 2) (MYST-2)"	KAT7 HBO1 HBOa MYST2	Homo sapiens (Human)	611
O95267	reviewed	GRP1_HUMAN	RAS guanyl-releasing protein 1 (Calcium and DAG-regulated guanine nucleotide exchange factor II) (CalDAG-GEFII) (Ras guanyl-releasing protein)	RASGRP1 RASGRP	Homo sapiens (Human)	797
O95294	reviewed	RASL1_HUMAN	RasGAP-activating-like protein 1 (RAS protein activator like 1) (Ras GTPase-activating-like protein)	RASAL1 RASAL	Homo sapiens (Human)	804
O95361	reviewed	TRI16_HUMAN	Tripartite motif-containing protein 16 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM16) (Estrogen-responsive B box protein)	TRIM16 EBBP	Homo sapiens (Human)	564
